char,male,female
Ã÷,378860,63221
Î°,378757,51232
¾ü,378096,29518
½¨,366515,51477
»ª,344928,174529
ÎÄ,314939,114048
¹ú,314608,29055
Ö¾,299132,39621
º£,276918,87270
·å,232893,16214
Ç¿,229396,6049
Æ½,225965,73650
¶«,218754,21500
Ïþ,211542,207281
½Ü,194765,36704
ÓÀ,194545,29893
ÓÂ,190382,6365
ÁÖ,189380,37752
Áú,187639,8593
»Ô,178643,28527
ÌÎ,173682,12330
±ó,166016,8959
¿¡,161980,36564
²¨,160605,23886
Åô,159913,9168
´º,157268,108726
ÐÂ,153515,36419
¸Õ,147028,3556
·É,142220,32319
³É,139031,12607
Ð¡,137432,120069
½ð,136342,60113
ÁÁ,132163,6934
ÖÒ,131965,9142
Óñ,126830,147213
³¬,126104,17839
µÂ,124605,13700
ÈÙ,122044,55581
Çì,118731,23266
Éú,118531,6072
Óî,118378,29473
¹â,115428,12386
Á¢,112826,26759
ÀÚ,110223,11532
ÔÆ,109814,100157
ºì,108502,211645
Ïé,102455,7359
ºé,102011,19928
ºê,100685,20164
Õñ,100017,8650
Á¼,96013,6731
Ãñ,94931,6861
·æ,91589,4431
±ø,90646,4966
ÐË,90035,9923
½­,87909,10484
Ñ§,86406,15516
ËÉ,84077,8258
Àû,83354,44240
ÎÀ,82372,16707
½¡,82205,10896
±¦,81292,17472
ºÆ,79919,5083
Ê¤,78757,7069
¿­,77402,7691
Ñô,77237,24014
Çå,76697,36514
Ãô,75548,112169
Ðñ,74631,17769
¸£,72095,7998
Õý,70377,9759
±ò,66533,11042
ÊÀ,64070,10604
³¤,63380,8103
ÑÇ,63358,63293
¹ã,62110,6864
ÖÐ,61828,6317
¾ý,60620,58847
Èð,58959,34788
Îä,58558,2865
öÎ,57518,15380
½£,57335,7550
°²,57148,11409
¼Ò,56343,10137
´ó,56176,5132
Òå,55720,5746
ÖÇ,55204,9619
¼Ñ,54900,67249
Çà,54716,48604
Äþ,54264,28826
Ñó,53081,15859
²ý,52419,4260
É½,51167,3362
È«,50282,3551
Òã,49420,6604
²©,49411,7874
½ø,46692,5243
À¤,46641,8972
Î¬,46638,17870
Ôó,46281,6560
À×,45521,3991
¼Ì,45240,9822
Ìì,44931,9701
ÐÇ,44883,13812
¹ó,44219,6801
ÐÛ,43605,2022
ÓÑ,43495,5230
Ôª,42977,9915
¸»,42554,3188
Ê÷,42132,7093
×Ó,41952,17408
Ïè,41592,4686
Ó¢,41295,163414
¸ù,41284,3574
»¢,40283,1048
Ô¶,39954,6499
Ë³,39809,5591
ÉÙ,39311,12223
ÈÊ,39174,5327
¶¬,38742,30766
¶°,38104,1481
Ñ©,38083,89886
±£,37815,3753
Ñå,37443,17402
³¿,37016,20761
